Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
920,Merge pull request #107 from vbrednikov/master,0.50830764,Update Pull Request Lifecycle docs (#1032),,0
921,Fix grammar in Network Policy documentation (#1210),0.9302192,* Docs: fix grammar in Network Policy (#1210),,1
922,Making pull request modifications,0.6812335,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,,0
923,Fix documentation,0.93114376,Documentation fixes,,1
924,v2.17.0 (#1966),0.6948932,"2.6.1 (October 22, 2021)",,0
925,Created a field for generate_name in secret data source (#2028),0.7203292,data_source/kubernetes_secret: Fix an issue where data_source cannot read secret created with generate_name. [GH-2028], Add publish_not_ready_addresses to kubernetes_service,1
926,Add a new data source kubernetes_endpoints_v1 (#1805),0.84466237,New data source: kubernetes_endpoints_v1 [GH-1805],,1
927,Fix typo in kubernetes_manifest documentation (#1368),0.9461725,* Fix typo in kubernetes_manifest documentation,  Fix github cookie for go-getting in CI   Remove vendor-status make target ,1
928,Allow automount service account token on the service account resource (#198),0.71454215,* Normalize automount_service_account_token to be in line with the K8s API (#1054), Add test environment infrastructure for Azure AKS Add test environment infrastructure for Amazon EKS,1
929,Fix basic auth example in docs,0.5305915,Documentation fixes,,0
930,Bump golang.org/x/net from 0.4.0 to 0.7.0 (#2025),0.6493359,Bump provider SDK to v1.7.0,Select default_secret for service_account if there is more than one Co-Authored-By: pablo-ruth contact@pablo-ruth.fr,0
931,Change default value of the variable 'enable_alpha' to 'false' for the GKE test cluster (#1787),0.5524434,resource/kubernetes_manifest: Fix a panic when constructing the diagnostic message about incompatible attribute types [GH-2054],This fix makes it possible to have rules which are nonResourceUrls. Partially fixes #285,0
932,Update CHANGELOG.md for v2.11.0 release,0.8356805,Generating changelog for release-v2.19.0 from v2.18.1...,,1
933,Update Github Token in stale issue task (#1361),0.59481263,resource/kubernetes_node_taint: Fix an issue when updating taint does not update the ID in the state file. [GH-2077],Add DaemonSet and ClusterRole resources,0
934,Update GH action github/issue-labeler to v2.4,0.59338844,resource/kubernetes_node_taint: Fix an issue when updating taint does not update the ID in the state file. [GH-2077],The automount_service_account_token should not be in the metadata block.,0
935,Update 'Docker config' code example of kubernetes_secret(_v1) resource. (#1626),0.7345665,Add kubernetes_resource data source (#1548),s/grand/grant/,1
936,add forcenew on env var value field,0.50428116,* Add ingressClassName as field in Ingress manifest (#1057),  Fix typo in GKE test-infra README and add kubeconfig to .gitignore to avoid committing credentials by mistake   Update README ,0
937,Add kubernetes_ingress_class resource (#1236),1.0000001,Add kubernetes_ingress_class resource (#1236),,1
938,Add timeout argument to kubernetes_stateful_set (#1047),0.99463886,* Add timeout argument to kubernetes_stateful_set (#1047),,1
939,Merge pull request #479 from clemenspeters/patch-1,0.49624974,Update Pull Request Lifecycle docs (#1032),,0
940,Cleanup after v0.1.0 release,0.5158261,Generating changelog for release-v2.19.0 from v2.18.1...,"Add a new resource ""kubernetes_role_binding""",0
941,provider/kubernetes: Fix failing tests after upgrading to 1.6,0.7109332,  - kubernetes_validating_webhook_configuration_v1, rm sudo key  sudo is now always enabled: https://blog.travis-ci.com/2018-11-19-required-linux-infrastructure-migration  make yamllint 1.13.0 happy,1
942,Update description to match other official providers (#699),0.5647074,Improve docs for configuring the provider (#1132), Add pod metadata to replication controller spec template Mark affected attributes as deprecated to allow for a migration path,0
943,Don’t prevent use of kubernetes.io annotation keys,0.64432657,resource/kubernetes_cron_job_v1: Fix annotation logic to prevent internalkeys from being removed in templates [GH-1983],Add kubernetes_network_policy resource,0
944,Handle forked path in Travis,0.41269717,  - kubernetes_endpoints,  Remove old vendor   Go 1.11 formatting   Initial go.mod   go mod tidy   More explicit PVC types to make Go 1.11 happy   Re-vendor from go modules   provider: Require Go 1.11 in TravisCI and README provider: Run go fix provider: Run go fmt ,0
945,Refactor labelSelector schema and its flatteners/expanders functions for reuse (#140),0.58828026,Filter well known labels and annotations (#1253),Add support for local PVs,0
946,"Update container.resources schema for Pod, DaemonSet and Deployment (#1889)",0.6675186,Add validations to container PodSpec (#1275),"Added node-affinity support for persistence volume. Added waiting for destroying persistence volume, which kubernetes test do similar things on destroy: https://github.com/kubernetes/kubernetes/blob/master/test/e2e/framework/util.go#WaitForPersistentVolumeDeleted",0
947,Merge pull request #17 from terraform-providers/f-service-account,0.54231167,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Add kubernetes_role resource - a new resource to allow the management of role resources in Terraform.,0
948,Update CHANGELOG for v2.6.0,0.8435708,Generating changelog for release-v2.19.0 from v2.18.1...,  Update changelog for #249   Update changelog for #252 ,1
949,v2.16.1 (#1927),0.7061498,"2.6.1 (October 22, 2021)", Add support for volumeBindingMode in storageClass,1
950,Allow 3s age gap between serviceaccount and secret (#748),0.95647347,Allow 3s age gap between service account and secret (issue), Typos fix,1
951,Merge pull request #450 from terraform-providers/readme-slack-channel,0.5592165,Update terraform-plugin-go and terraform-plugin-sdk (#1551), GKE test infra writes kubeconfig file,0
952,Use Go 1.16,0.59286964,Update Go dependencies (#968),adds data_source_kubernetes_secret https://github.com/terraform-providers/terraform-provider-kubernetes/issues/241,0
953,Test auth provider plugins are loaded,0.5361188,Update acceptance tests for tfproviderlint (#887),,0
954,fix doc linter errors,0.75510824,Docs: fix broken links (#1041),  Add acceptance test to demonstrate issue with stateful set image updates   Fix stateful set template spec updates ,1
955,Link Endpoints resource into sidebar. (#431),0.5039592,Enable links check and fix 2 links (#1259),"Add allow_privilege_escalation property to container security context, update documentation and acceptance tests",0
956,vendor: google.golang.org/api/compute/v1@e9627089,0.4766213,Update Go dependencies (#968),,0
957,Ingress Resource (closes #14) (#417),0.5861372,Add data source for ingress (#514),This reverts commit 7acf8d56631895e245aba829e7751ba2145cccbb.,0
958,Add roadmap to issues template,0.59441423,resource/kubernetes_annotations: Add a new attribute template_annotations that allows adding annotations to resources with pod templates. [GH-1972],,0
959,Merge pull request #51 from terraform-providers/docs-k8s-guide,0.64002144,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
960,Upgrade terraform-plugin-mux to v0.6.0 (#1686),0.99999994,Upgrade terraform-plugin-mux to v0.6.0 (#1686),Convert returned types to pointers,1
961,Adapt AKS infra for managed identity rather than explicit service account creds (#1784),0.61294615,  - kubernetes_service_account,,0
962,Document 'automount_service_account_token' in Pod and Pot template resources.,0.68756676,* Fix perpetual diff when using Pod resource with automount_service_account_token=true (#1085),,0
963,computed_attributes reference documentation,0.63637006,resource/kubernetes_annotations: Add a new attribute template_annotations. [GH-1972],,0
964,Wait for deployment to delete (#937),0.9164779,Add ability to wait for deployment to delete (#937),,1
965,Fix Changelog Links Script for kubernetes provider,0.70468724,  - kubernetes_mutating_webhook_configuration,,1
966,Merge pull request #261 from jhoblitt/pod-spec-automount-service-account-token,0.5948761,* Fix perpetual diff when using Pod resource with automount_service_account_token=true (#1085),,0
967,docs: Fix spacing so the page renders properly,0.44519046,* Update docs to reflect new schema for load_balancer_ingress (#1123), StatefulSets - Create/Read/Update/Destroy StatefulSet acceptance tests Documentation for StatefulSet,0
968,remove defaultSecret warning message (#2085),0.58374786,"* Normalize wait defaults across Deployment, DaemonSet, StatefulSet, Service, Ingress, and Job (#1053)",  Constantize test resource name   Fix detection of K8S config context & be aware of KUBECONFIG env var   Scale down deployment tests to fit GKE tighter resource constraints   Pin down cluster node instance type ,0
969,affinity with acc tests,0.7025448,Fix annotation diffs on affinity tests (#993), Kops on AWS test env - create state S3 bucket via Terraform,1
970,Add documentation page explaining version suffixes (#1504),0.67956704,This release introduces version suffixes to the names of resources and datasources. See our documentation page for more details on this convention and the motivation behind it.,,0
971,Set default for 'external_traffic_policy',0.6611632,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),  feat(StorageClass): add ReclaimPolicy attribute   doc(StorageClass): add new attribute reclaim_policy   chore(format): reindent resource_kubernetes_storage_class.go ,0
972,Merge pull request #180 from coryflucas/patch-1,0.5029086,Update Pull Request Lifecycle docs (#1032), Wait for deployment rollout status  replicationcontrollers are not created for a deployment. So we need to wait for the deployment itself to finish.,0
973,Update module google/go-cmp to v0.3.1 (#629),0.71347487,Update all go modules (#1240),This is actually Optional: https://github.com/terraform-providers/terraform-provider-kubernetes/blob/6d4babb71bd11c58542970a69d67f0a82e52c5aa/kubernetes/resource_kubernetes_deployment.go#L81,1
974,add support for init containers,0.63635534,Add support for startup_probe on container spec,Description taken from https://github.com/terraform-providers/terraform-provider-kubernetes/blame/13b7e681cd620f8344395aa8fdbc29b4af590cfe/website/docs/r/deployment.html.markdown#L99,0
975,Add renovate.json,0.5080669,ENHANCEMENT:,,0
976,Fix perpetual diff in claim_ref (#1227),0.8439441,* Fix perpetual diff in persistent volume claimRef (#1227),Linked to #178,1
977,Add proxy_url attribute to provider configuration block (#1441),1.0,Add proxy_url attribute to provider configuration block (#1441),  Bump Go version to 1.10 on Travis CI.   Try exact Go version   Quotes around Go version ,1
978,add force and force_manager attribute docs (#2063),0.5875763,"* kubernetes_manifest supports setting field_manager name and ""force"" mode",  Add documentation for kubernetes_deployment resource   Docs - convert verbatim URLs to hyperlinks.   Fix broken links ,0
979,Merge pull request #498 from terraform-providers/test-infra-aks-version,0.6441957,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
980,Correct some errors in manifest documentation (#1834),0.7259898,"Update documentation examples and correct some errors (#1597, #1611, #1612, #1626)",,1
981,Add GKE acceptance tests to Github Actions (#1771),0.8492584,Add GitHub action for EKS acceptance tests (#1656),,1
982,Add secret_namespace to volume_source azure_file (#1204),0.9940134,* Add secret_namespace to volume_source azure_file (#1204),  Fix Deployment attributes expansion   Bubble up errors from expandPodTemplate   Refresh deployment on metadata returned by Create call   Deployment acceptance tests   Replace Create timer-based waiter with a resource.RetryFunc ,1
983,Auto configure cluster node CPU and RAM size based on host sizes,0.47521865,Add support for aggregation_rule to cluster_role resource (#911),Add support for envFrom on container definitions,0
984,Merge pull request #44 from sl1pm4t/volume-secret-item,0.48408502,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],Add support for ClusterRoleBinding,0
985,Update module vmihailenco/msgpack to v4.0.4,0.6042722,Update all go modules (#1240),,0
986,Update Go dependencies for upcoming Azure work (#968),0.7950723,Update Go dependencies (#968),,1
987,add validations (#1276),0.8410112,Add validations to service (#1273),,1
988,Allow non-negative replicas in 'kubernetes_stateful_set'.,0.7683897,  - kubernetes_stateful_set,,1
989,allow more values for deployment rolling update config (#587),0.62004066,Add wait_for_rollout to kubernetes_deployment resource (#863),,0
990,r/kubernetes_secret docker config example,0.7024184,  - kubernetes_secret,,1
991,Fix credentials in GKE github action (#1772),0.6030498,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
992,[TK-1425] Parallelize acc tests & use gke-gcloud-auth-plugin (#1815),0.57545054,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
993,Update GitHub CodeQL workflow (#1959),0.51178193,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,Deployment,0
994,"added storage class, allow_volume_expansion. (#373)",0.7251394,Recreate Storage Class on VolumeBindingMode update (#757),,1
995,Merge pull request #745 from terraform-providers/add-ttl-after,0.61504954,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
996,Hack: work around CRD.spec.versions type corruption,0.43843564,* kubernetes_manifest now correctly handles multiple CRDs with different number of schema versions (#1460),,0
997,v2.3.2,0.7261328,"2.8.0 (February 09, 2022)",,1
998,Fix failing test for data source kubernetes_service (#972),0.74740636,  - kubernetes_validating_webhook_configuration_v1,,1
999,FIX resources state migration should migrate empty array (#1126),0.9461235,* Resources state migration should migrate empty array (#1124),,1
1000,v1.11.1,0.682807,"2.8.0 (February 09, 2022)",,0
1001,Add support for enable_service_links to the pod specification (#975),1.0000001,Add support for enable_service_links to the pod specification (#975),,1
1002,Add 'external_traffic_policy' to the service datasource.,0.70735466,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),,1
1003,Update tools versions and install changelog commands (#1858),0.69332504,Generating changelog for release-v2.19.0 from v2.18.1...,,0
1004,v2.9.0  (#1648),0.65280247,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
1005,Add acceptance test to reveal issue with config_map volume items,0.6437337,* Support 'optional' flag for ConfigMap mounted as volume (#823),See https://kubernetes.io/docs/concepts/containers/images/#specifying-imagepullsecrets-on-a-pod Fixes #79,0
1006,some fixes for toleration_seconds/tests,0.53917986,Match specific tolerations to prevent diffs (#978),,0
1007,Add docs for credential refresh (#1121),0.6688249,Improve docs for configuring the provider (#1132),,0
1008,Dev: fix test infra for GKE (#277),0.6298728,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,Based on nickschuch/terraform-provider-kubernetes@aaff7e9.,0
1009,Update log messages of kubernetes_secret (#1731),0.69492507,  - kubernetes_secret,,0
1010,v2.7.0,0.686535,"2.8.0 (February 09, 2022)",,0
1011,switch targetPort to string in schema,0.53838944,Add termination_message_policy to container schema (#847),only allow container spec image to be updated by non-init containers add acceptance checks for forced new add acceptance test to Replication Controller,0
1012,Add toleration documentation to Deployments and DaemonSets,0.5809716,  - kubernetes_daemonset,,0
1013,Support for mount_options for StorageClass (#653),0.6861448,Add mount_propagation attribute to container volume mount,,0
1014,Merge pull request #156 from appilon/61-init-containers,0.5389483,* Fix delete/recreate when updating init_containers (#951),,0
1015,v2.7.1,0.7561951,"2.8.0 (February 09, 2022)",,1
1016,r/ingress - wait for ingress to be deleted (#1143),0.7174934,Wait for kubernetes_ingress to be deleted (#1143),,1
1017,set cascading delete policy to default delete option (#643),0.74100375,Set option to cascade delete job resources (#534 / PR #635),add acc test,1
1018,Merge pull request #122 from terraform-providers/t-ignore-internal-keys,0.55028856,Update terraform-plugin-go and terraform-plugin-sdk (#1551),new acceptance test update docs to reflect targetPort is optional,0
1019,Fix formatting,0.6376877,Documentation fixes,,0
1020,Implement type hinting - fixes IntOrString handling (#1590),0.56748426,* Add ingressClassName as field in Ingress manifest (#1057),,0
1021,GKE test infra: use gcloud as auth provider (#1540),0.65026784,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
1022,v2.4.0,0.6941232,"2.8.0 (February 09, 2022)",,0
1023,Add support for importing service accounts (#377),0.62349695,Support in-cluster configuration with service accounts (PR #497),,0
1024,v1.12.0,0.7437918,"2.6.0 (October 19, 2021)",,1
1025,Fix namespacing issues on kubernetes_priority_class (#682),0.93181705,Fix namespacing issues on kubernetes_priority_class (#680) See comment on backward compatibility,,1
1026,v2.6.1,0.7365891,"2.6.1 (October 22, 2021)",,1
1027,Docs for ingress_class_name in kubernetes_ingress,0.99205816,* Docs for ingress_class_name in kubernetes_ingress,,1
1028,Create CSR returns the wrong error (#1206),0.92751807,* Fix error returned by Create CSR (#1206),  Move labelSelector schema and its flatteners/expanders functions out of persistant volume claims files to their own files for reuse   Simplify code ,1
1029,Update warnings to use the ~> syntax (#974),0.52913654,Update documentation and correct some errors (#1759),,0
1030,Remove suspend = true from cronjob example (#597),0.65760535,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),,0
1031,Bump EKS module versio to fix CI (#336),0.5537935,Refactor client config initialization and fix in-cluster config (#679) (#497),,0
1032,acc-tests: Fix faulty detection of environment,0.52995837,Fix service test leaking ELBs (#947),,0
1033,Pin AzureRM provider to pre-2.0.0 versions (#778),0.557589,Bump provider SDK to v1.7.0,,0
1034,Add behavior field to horizontal_pod_autoscaler (#1030),1.0,Add behavior field to horizontal_pod_autoscaler (#1030),Upgrade k8s client libs to 1.10,1
1035,build: Switch Travis to Go 1.9,0.48274225,Bump provider SDK to v1.7.0,KVM minikube cluster on Packet,0
1036,Typo: config map => storage class,0.63977635,  - kubernetes_storage_class,,0
1037,provider/kubernetes: Allow sourcing config_path from KUBECONFIG env var (#14889),0.81409144,* Add kube_config_paths to provider block (#1052),,1
1038,Update provider docs to mention not using KUBECONFIG (#1989),0.70227146,Update docs to reflect Kubernetes service status attribute (#1148),,1
1039,provider/kubernetes: Add support for limit_range (#14285),0.69447744,* Add kube_config_paths to provider block (#1052),,0
1040,Update docs and examples for Ingress and Service (#1125),0.73494923,Improve docs for configuring the provider (#1132),,1
1041,Add 'timezone' to 'kubernetes_cron_job_v1' (#1971),0.8559227,resource/kubernetes_cron_job_v1: Add a new attribute spec.timezone. [GH-1971],Fix link to storage class parameters,1
1042,Add github action for acceptance tests using kind (#1691),1.0,Add github action for acceptance tests using kind (#1691),,1
1043,Update README.md (#981),0.60053253,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,Fix basic auth example in docs,0
1044,Fix updates of stateful set images (#252),0.5557033,* Fix perpetual diff in StatefulSet when update_strategy is not specified (#1088),,0
1045,Merge pull request #162 from cosmopetrich/kube-client-1.10,0.5180216,Fix importing kubernetes_manifest resources (#1440),,0
1046,Fix service test leaking ELBs (#1013),0.9831356,Fix service test leaking ELBs (#947),Updated example of providers block,1
1047,Move automount_service_account_token (#278),0.7210907,* Normalize automount_service_account_token to be in line with the K8s API (#1054),,1
1048,Upgrade to Go 1.11 + modules (#269),0.7874057,Update all go modules (#1240),,1
1049,Allow deleting volume_mount from kubernetes_deployment (#1246),0.94977695,Resource kubernetes_deployment: allow removing volume mount (#1246),Modify secret example per k8s docs,1
1050,Add configuration for Typhoon based acceptance test environment (#807),0.65867925,Refactor Typhoon test configuration to allow selection of Kubernetes version (#992),See https://kubernetes.io/docs/concepts/containers/images/#specifying-imagepullsecrets-on-a-pod Fixes #79,0
1051,Cleanup after v1.1.0 release,0.5015299,Generating changelog for release-v2.19.0 from v2.18.1...,,0
1052,"Revert ""Filter well known labels and annotations (#1253)"" (#1298)",0.98154926,"* Revert ""Filter well known labels and annotations"" (#1298)",,1
1053,Add missing annotations (#1289),0.9917202,* Add missing annotations (#1289),Based on nickschuch/terraform-provider-kubernetes@aaff7e9.,1
1054,Add timeouts block to kubernetes_manifest (#1353),0.91930336,* Timeouts block on kubernetes_manifest,,1
1055,fix update strategy for deployment (#372),0.62546057,Fix reported replica count when waiting for Deployment rollout (#998),,0
1056,Remove redundant assignments (#282),0.5614443,* Fix delete/recreate of Jobs when updating mutable fields (#1074),r/kubernetes_pod: add support for init containers,0
1057,Merge pull request #89 from terraform-providers/t-expose-kube-version,0.63000464,Fix kubernetes_manifest Terraform version constraint causing error on 0.12/0.13 (#1345),only allow container spec image to be updated by non-init containers add acceptance checks for forced new add acceptance test to Replication Controller,0
1058,Filter empty objects unless set by user before API payload generation,0.46399242,Attribute ignore_annotations of provider (#746),make: Add website + website-test targets,0
1059,fix(job): typo in error message (#1048),0.9537163,* Fix typo in Job error message (#1048),,1
1060,Merge pull request #62 from terraform-providers/go-1.9,0.6420554,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1061,Add resource_kubernetes_env (#1838),0.92694426,Add new resource resource_kubernetes_env [GH-1838],d/kubernetes_service: fix broken schema,1
1062,Merge pull request #40 from terraform-providers/b-escape-json-ptr,0.5412249,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1063,Fix service load balancer crash (#1070),0.99072886,* Fix service load balancer crash (#1070),,1
1064,resource/kubernetes_service: Update external_ips correctly on K8S 1.8+,0.75502545,Update docs to reflect Kubernetes service status attribute (#1148),r/kubernetes_pod: env var value change forces new pod,1
1065,WIP - update resource API versions to v1,0.57985127,Update Pull Request Lifecycle docs (#1032),,0
1066,Make Deleting PVs Idempotent (#1935),0.5539111,"Add additional validation on the delete operation to make it idempotent. [GH-1914], [GH-1919], [GH-1898]",r/kubernetes_service: Switch targetPort to string,0
1067,"Add ""field_manager"" attribute  (#1831)",0.6824077,"Add ""field_manager"" attribute to kubernetes_labels, kubernetes_annotations, kubernetes_config_map_v1_data [GH-1831]",add acc test,0
1068,Add link to Kubernetes 'Running Automated Tasks with a CronJob' for cron job resource. (#1200),0.74761754,* Docs: kubernetes_cron_job add link to Kubernetes reference (#1200),new acceptance test update docs to reflect targetPort is optional,1
1069,Update cron_job.html.markdown (#852),0.6355172,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),,0
1070,Add switch to disable kubeconfig (#36),0.6434809,* Add kube_config_paths to provider block (#1052),validators: change label validation to DNS1123 subdomain,0
1071,Add import support for kubernetes_manifest,0.8420739,* kubernetes_manifest supports import operations,,1
1072,fix: drop ForceNew for deployment pod template fields,0.6281456,Do not set default namespace for replication controller and deployment pod templates (#275),,0
1073,"kubernetes_endpoints fields should be set, not list (#432)",0.7753407,  - kubernetes_endpoints,,1
1074,Fix crash in manifest when configuration contains DynamicPseudotyped unknown values. (#2055),0.7603966,resource/kubernetes_manifest: Fix crash when manifest config contains unknown values of unknown type (DynamicPseudoType) [GH-2055],,1
1075,Add diff suppression for hard limits on kubernetes_resource_quota (#1251),0.8492012,Resource kubernetes_resource_quota: suppress diff for no-op changes (#1251),r/kubernetes_pod: Add timeout to pod resource,1
1076,v1.13.3,0.71197915,"2.6.0 (October 19, 2021)",,1
1077,Allow 0 for backoff_limit on kubernetes_job (#632),0.99206483,Allow 0 for backoff_limit on kubernetes_job (PR #632),,1
1078,Add health_check_node_port to Service resource (#908),0.99999994,Add health_check_node_port to Service resource (#908),,1
1079,v2.1.0,0.7128725,"2.8.0 (February 09, 2022)",,1
1080,Merge pull request #801 from dak1n1/configmap,0.56202674,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],  Move labelSelector schema and its flatteners/expanders functions out of persistant volume claims files to their own files for reuse   Simplify code ,0
1081,Update persistent_volume.html.markdown,0.5617287,Add diff suppression to persistent_volume and persistent_volume_claim (#1145),,0
1082,Add data source for Pod and PVC (#715),0.960025,* Add data source for Pod and PVC (#786),resource/kubernetes_persistent_volume: Mark persistent_volume_source as ForceNew on 1.9+,1
1083,Merge pull request #28 from terraform-providers/dep-google-provider,0.5197769,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1084,Adapt TestAccKubernetesService_loadBalancer for 'external_traffic_policy',0.6993252,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),,0
1085,Merge pull request #154 from appilon/134-target_port-string-or-int,0.4771574,Attribute allocate_load_balancer_node_ports of kubernetes_service(_v1) (#1683),vendor: github.com/hashicorp/terraform/...@v0.11.4,0
1086,Cleanup after v1.6.1 release,0.54559165,"2.6.0 (October 19, 2021)",,0
1087,Check that resource exists before trying to create (#1390),0.74058527,* kubernetes_manifest checks that resource exists before trying to create,,1
1088,Default kubernetes_manifest experiment to true (#1436),0.64125466,New data source: kubernetes_endpoints_v1 [GH-1805],,0
1089,support topologySpreadConstraint in pod spec schema (#1022),0.9974469,Support topologySpreadConstraint in pod spec schema (#1022),resource/*: Treat non-string label values as invalid,1
1090,Fix docs typos for kubernetes_manifest (#1343),0.86911476,* Fix typo in kubernetes_manifest documentation,,1
1091,Add go-version file (#915),0.6337434,Update Go dependencies (#968),resource/kubernetes_pod: Bump timeout to 5 mins,0
1092,Fix tests,0.58967,Fix service test leaking ELBs (#947),test-infra: Add DNS check to kops,0
1093,Add acceptance test for 'kubernetes_stateful_set'.,0.70767665,  - kubernetes_stateful_set,test-infra: Re-auth for kops@GCE deletion,1
1094,doc: clarify file config authentication (#1128),0.5731801,Fix docs formatting for kubernetes_secret (#1434),,0
1095,Add docs for Jobs and CronJobs,0.5621159,* Docs: kubernetes_cron_job add link to Kubernetes reference (#1200),,0
1096,Merge pull request #111 from sergei-ivanov/pv_storage_class_name,0.50436455,* Restructure service and ingress to match K8s API (#1071),,0
1097,Add acceptance test for cert-manager (#1417),0.6760379,Update acceptance tests for tfproviderlint (#887),,0
1098,Cleanup after v1.4.0 release,0.49709284,Generating changelog for release-v2.19.0 from v2.18.1...,,0
1099,"Only Remove internal keys from objects,  not templates / job_template (#1983)",0.72329164,resource/kubernetes_cron_job_v1: Fix annotation logic to prevent internalkeys from being removed in templates [GH-1983],resource/kubernetes_persistent_volume: Use correct operation when updating persistent_volume_source (1.8),1
1100,Fix changelog,0.6498677,Generating changelog for release-v2.19.0 from v2.18.1...,,0
1101,"Revert ""Fix formatting issues""",0.6145876,Documentation fixes,resource/kubernetes_limit_range: Avoid spurious diff when spec is empty,0
1102,Add support for volume mode (#939),0.99999976,Add support for volume mode (#939),tests: Add AWS EBS tests for PV + separate test for hostPath,1
1103,Fix nodes datasource test assertions (#1979),0.7095234,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),,1
1104,Surface diagnostic instead of panic when morpher fails to determine terraform type  (#2018),0.53024966,[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic,,0
1105,Fix 1214: update timeout and fix broken link (#1527),0.698936,Docs: fix broken links (#1041),Fix adding labels/annotations to resources or data to config maps/secrets when those were empty,0
1106,Skip ttlAfter test,0.55211484,Update acceptance tests for tfproviderlint (#887),,0
1107,Add a new optional attribute 'runtime_class_name' to 'pod.spec' (#1895),0.8349865,Add a new optional attribute runtime_class_name to pod.spec. That affects all resources and data sources that use pod.spec directly or as a template. [GH-1895],,1
1108,Add missing PR numbers to 1.8.1 changelog (#560),0.51027644,* Add missing annotations (#1289),vendor: github.com/terraform-providers/terraform-provider-aws,0
1109,Add wait_for_rollout attribute to kubernetes_deployment (#916),0.9328368,Add wait_for_rollout to kubernetes_deployment resource (#863),,1
1110,kubernetes: Add config_map resource (#12753),0.8741732,  - kubernetes_config_map,,1
1111,Include provider version in header,0.57992005,Add proxy_url attribute to provider configuration block (#1441),vendor: github.com/hashicorp/terraform/...@v0.11.3,0
1112,Avoid crash when importing invalid ID,0.7212516,Fix import ID syntax in manifest import docs,,1
1113,Update GKE example to remove deprecated (#895),0.56268066,resource/kubernetes_persistent_volume: add additional validation on the delete operation to make it idempotent [GH-1935],,0
1114,Update CHANGELOG.md for v2.12.0 (#1725),0.8111291,Generating changelog for release-v2.19.0 from v2.18.1...,,1
1115,Add scope_selector to kubernetes_resource_quota (#1244),0.73392093,Add kubernetes_ingress_class resource (#1236),,1
1116,Alter ClusterRole validation to closer match that of Kubernetes (#288),0.6857176,Fix not handling multiple cluster_role_selectors of kubernetes_cluster_role(_v1) (#1360),resource/kubernetes_service: Update external_ips correctly on K8S 1.8+,0
1117,Update manifest.html.markdown,0.50413895,Update terraform-plugin-go and terraform-plugin-sdk (#1551),tests: Skip GCP-dependent test if not on GCP,0
1118,use a more common example config for provider quickstart (#751),0.6010306,Improve docs for configuring the provider (#1132),,0
1119,Fix (cluster-)role bindings and rules updates (#714),0.9969541,Fix (cluster-)role bindings and rules updates (#713),,1
1120,make: Add website + website-test targets,0.53818977,Add validations to validating_webhook_configuration (#1279),,0
1121,vendor: github.com/hashicorp/terraform/...@v0.11.4,0.6383605,@St0rmingBr4in made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1802,resource/kubernetes_persistent_volume: Add support for storage_class_name,0
1122,Update all go modules (#1240),1.0000002,Update all go modules (#1240),,1
1123,vendor: github.com/hashicorp/terraform/...@v0.10.3,0.6318506,@St0rmingBr4in made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1802,,0
1124,Filter well known labels and annotations (#1253),0.9999997,Filter well known labels and annotations (#1253),,1
1125,fix diff suppression for resource quantities in pv and pvc (#1145),0.6691236,Add diff suppression to persistent_volume and persistent_volume_claim (#1145),,0
1126,r/Service add external_traffic_policy to spec,0.6952386,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),resource/kubernetes_persistent_volume_claim: Improve event log polling for warns,0
1127,Add support for startup_probe  (#739),0.7213697,Add support for startup_probe on container spec,tests: Fix wrong access_modes for PVC,1
1128,Merge branch 'master' into volume-secret-item,0.50981474,* Add secret_namespace to volume_source azure_file (#1204),,0
1129,v1.11.0,0.7224027,"2.6.0 (October 19, 2021)",,1
