Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
9152,internal/terraform: no tests yet but basic code down,0.47672057,"properly formatted, similar to terraform fmt -check. [GH-4020]",,0
9153,Look at job allocations rather than from an evaluation,0.58663183,evaluating defaults for job variables. [GH-3171],builtin/google/cloudrun: nil check block configs,0
9154,ECS task launcher updates.,0.6985695,plugin/ecs: Implement WatchTask plugin for AWS ECS task launcher. Store ECS on-demand runner logs in the job system. [GH-3918],Fixes #606,0
9155,move context and context inspect lower in CLI navigation,0.6768612,cli: Add context inspect command to aid in user enjoyment of waypoint contexts. [GH-1458],fix(cli): application configuration url,0
9156,Fix redundant error format,0.46280095,cli: Fix panic when attempting to reinstall autocomplete [GH-2986],,0
9157,Fix letsencrypt expiration (#2394),0.48386234,cli/token: fix issue where tokens could be cut off on narrow terminals [GH-885],,0
9158,chore: add hcl replace,0.69903773,core: Adds string replace function for HCL configs [GH-3522],Fixes #611,0
9159,Wire up the config CLI,0.6568122,cli/config-sync: Add operations flags to config sync command. [GH-4143],Fix deploy docker command doc,0
9160,release v0.2.4,0.7858561,"0.2.0 (December 10, 2020)",,1
9161,auto-updated internal/server/gen/bindata_ui.go from commit 26092b14,0.6019446,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
9162,internal/config2: mark all use plugins as mappers,0.5960576,plugin: Allow debugging of plugins with tools like delve [GH-1716],Check for active ECS cluster,0
9163,restore error case,0.5253078,cli: Fix panic when attempting to reinstall autocomplete [GH-2986],Signed-off-by: Eddie Zaneski eddiezane@gmail.com,0
9164,Show server connect humanize error in retry UI,0.54729676,server: Fix a bug that sometimes sends duplicate cancellation messages [GH-1538],Signed-off-by: Eddie Zaneski eddiezane@gmail.com,0
9165,Merge pull request #629 from jacksgt/gofmt,0.46609777,plugin/docker: fix issue with remote operations for docker-pull builder [GH-3398],,0
9166,Merge pull request #2743 from hashicorp/docs/remove-old-doc-entry,0.5033586,server: UpsertProject will not delete all application metadata [GH-1027],internal/pkg/flag: string slice defaults only if no flags given,0
9167,Merge pull request #81 from hashicorp/f-ui-pages,0.5028402,ui: Fix crash when encountering resources without IDs [GH-3929],Fix plugin godoc copy paste,0
9168,internal/cli: waypoint login supports tokens,0.8295187,cli: can login with a token using the new waypoint login command [GH-1848],"Fixes #601 We should only use the default string slice value if no flags are given. Nomad is currently the only user of this flag and this is the expected behavior there, plus I believe elsewhere.",1
9169,adds revalidate,0.4957049,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],Signed-off-by: Eddie Zaneski eddiezane@gmail.com,0
9170,changelog: add 2145.txt,0.54162943,ui: Update empty logs message [GH-2925],docs: fix k8s example using count instead of replicas,0
9171,Update changelog for 0.4.1 release,0.6209737,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],Update CONTRIBUTING.md to reflect correct labels,0
9172,Merge pull request #3605 from hashicorp/b-dep-warning,0.5230944,internal: Fix deprecation warning being fatal [GH-3605],  Add Private Registry details   Updated formatting ,0
9173,Add note about pack builds,0.5210714,plugin/pack: Upgrade pack package to fix downloading remote buildpacks [GH-1452],fix bug and enhancement links.,0
9174,Merge pull request #4512 from hashicorp/update-jira-labeler,0.5313637,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
9175,"internal: support Labels and Workspace on Job, Runner, etc.",0.7248478,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",  builtin/aws/alb: replace deprecated session.New   builtin/aws/ami: replace deprecated session.New   builtin/aws/ec2: replace deprecated session.New   builtin/aws/ecr: replaced deprecated session.New   builtin/aws/ecs: replaced deprecated session.New ,1
9176,Add test demonstrating string slice bug,0.62870824,cli: Fix issue parsing string slice inputs [GH-1669],website: troubleshooting plugin installation,0
9177,adding UI section to guide,0.57701313,ui: Add ability to add input variables in the project settings UI [GH-1658],This clarifies some parts of plugin installation and adds a section dedicated to plugin installation troubleshooting.,0
9178,internal/factory: can give a list of registered names,0.48701352,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",,0
9179,auto-updated internal/server/gen/bindata_ui.go from commit dc4363c3,0.61508375,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Add CGO_ENABLED to entrypoint,0
9180,Merge pull request #3571 from hashicorp/ecs-upgrade-runner,0.5032311,cli: Default the platform for server upgrade to the platform in the context [GH-1461],,0
9181,Update post-creation transition and poll project model to wait for apps,0.6012596,core: App status polling will always queue status reports refresh jobs for latest deployment and release if present [GH-2039],,0
9182,internal/server/singleprocess: DeleteHostname,0.63247633,Use server uninstall to remove the Waypoint server and artifacts from the,Add support for environment variables with pack build,0
9183,Allow trigger update to update workspace/project/app target,0.61523825,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],website: drop link to github actions demo,0
9184,internal/cli: tests passing,0.616002,cli: Fix issue where the CLI would exit with no error or action taken if a local,"This demo uses the experimental action-waypoint, which may not be maintained longer term,  and I'd rather us limit the maintenance burden associated with this demo repository (that is currently private). I think the screenshot serves this well, and the example is the same as is used in the demo. This demo can easily be demonstrated by:  Copying the example action workflow in the documentation Grabbing one of the examples (https://github.com/hashicorp/waypoint-examples) Pushing it up to GitHub",0
9185,typo and docs updates,0.5224753,cli: Print warning and help docs if required flags for upgrade are not included [GH-1372],fix(documentation),0
9186,auto-updated pkg/server/gen/bindata_ui.go from commit c24ea3e84,0.61294246,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Fixed some typos,0
9187,re-add support for hcl types,0.6576949,core: Adds string replace function for HCL configs [GH-3522],,0
9188,website: move pipeline nav links to alpha order,0.5126618,  waypoint pipeline run. [GH-4319],"The deployment to ECS is quite simple: a single container, on a chosen port. This allows specifying additional containers to run along side the main container which is common as a use case.",0
9189,build(deps): bump decode-uri-component in /ui/lib/grpc-web,0.49381444,plugin/docker: Add parameter to disable the build cache [GH-2953],"This allows specifying additional environment variables to the default PORT => 3000 mapping, and specifying secrets to use with the default container. I'm still trying to work out what the flow should be for a Waypoint deployment into ECS, but it seems like we have at the very least a default container that is created during the build stage.",0
9190,step by step comments for future refactoring assistance,0.5844393,IMPROVEMENTS:,Fixed some English language typos,0
9191,Merge pull request #946 from hashicorp/add-server-build-target,0.5468744,cli/serverinstall/k8s: Add new cluster role and binding to allow nodeport services to work [GH-2412],Fixed typos in the document. Would study waypoint and try to some more meaningful contributions.,0
9192,Merge pull request #3875 from hashicorp/docs-runner,0.5067052,existing server image is hashicorp/waypoint:latest [GH-3820],,0
9193,Merge pull request #3380 from hashicorp/website/docs/configsourcer-interface-docs,0.5155119,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
9194,builtin/google/cloudrun: result must be a valid proto,0.5616671,plugin/google/cloudrun: Add VPC and Cloud SQL config options [GH-1123],"Fix documentation about adding a new context. Name of the context must be at the end of the command and not right after the create parameter. This way it works, the other way around it does not work.",0
9195,internal/config: Operation.Configure for retaining context for plugin,0.6161815,plugins/docker: Add support build context [GH-1490],fix: updated waypoint link as current link points to a dead website,0
9196,Update exec roadmap wording (#438),0.4809308,ui: Improve design of status row on Build/Deployment/Release detail pages [GH-2036],updated link to direct to waypointproject.io which I assume is the correct site,0
9197,proto: add new config,0.56996214,plugin/k8s: Introduce a new config option cpu and memory for defining,,0
9198,auto-updated internal/server/gen/bindata_ui.go from commit f90a67fb,0.58035433,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
9199,Reorder imports,0.4520033,or label sets. This can be used to alter configurations between environments,aws-ecs: fix cpu parameter for EC2 launch type,0
9200,Changelog fix.,0.5666269,entrypoint: default log level changed to DEBUG [GH-1330],,0
9201,internal/client: Auth,0.5466511,plugin/aws: load ~/.aws/config if available and use that for auth [GH-621],"since above it is described as an int, and in the Config struct https://github.com/hashicorp/waypoint/blob/cabbaf7d25c17a9dd94b5576f597bc8a986e6e07/builtin/aws/ecs/platform.go#L1130 In my testing, strings do work though :shrug:",0
9202,internal/core: use the correct artifact,0.4805694,ui: reformatted app overview page and header of artifact details page [GH-2606],,0
9203,auto-updated internal/server/gen/bindata_ui.go from commit be3b697b,0.545823,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Update to Go 1.15.3,0
9204,Make static envvars optional,0.5087999,plugin/aws-ecs: support for static environment variables [GH-583],,0
9205,auto-updated internal/server/gen/bindata_ui.go from commit 5e1b6859,0.59801656,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,internal/serverinstall: convert installation methods to use stepgroups,0
9206,Merge pull request #1046 from hashicorp/b-handle-unimpl-err-for-old-server-exec,0.55553484,serverinstall/ecs: Handle errors when resources are already destroyed [GH-1984],,0
9207,builtin/vault: extract auth package from Vault,0.49237698,plugin/vault: Fix usage of dynamic secrets from Vault for dynamic Waypoint app,builtin/nomad: destroy works,0
9208,internal/cli: Add waypoint pipeline inspect <pipeline-id>,0.813056,cli: Introduce new CLI flag -reattach for waypoint pipeline run which will stream,We were targeting the ID when it should've been the name. Fixes #560,1
9209,Merge pull request #2828 from hashicorp/fix-lint,0.54593754,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
9210,internal/server: generic poll queuer tests,0.5064977,server/singleprocess: Stop returning error when polling an app with no deployment or release [GH-2204],,0
9211,"internal/client,core: clean up after context cancellation better",0.5207263,"cli/uninstall: Remove hard requirement on platform flag, attempt to read server platform from server context. Platform flag overrides anything set in a server platform context [GH-2052]",,0
9212,simplify err msg outputs,0.49634385,ui: Logs & Exec Terminals resize smoothly [GH-2890],Website: Release notifications,0
9213,internal/server/state: per-app sequence numbers,0.4869064,server: Introduce basic server-side metric collections around operations [GH-3440],,0
9214,Using top-level handler to get server config,0.59979916,server: store platform where server is installed to in server config [GH-1000],,0
9215,Merge pull request #1293 from onlydole/bugfix/030-documentation,0.4698981,core: Connected entrypoints for deleted projects now error out properly. [GH-3949],install/k8s: add statefulset and endpoint test,0
9216,sdk: inject the any converter,0.43466198,plugin/k8s: Introduce a new config option cpu and memory for defining,,0
9217,Include exit code when job completes,0.49662766,job id with no argument. [GH-4019],  Switch all releases to build time fetch   Adds no-cache to the fetchAll request   Remove superfluous map ,0
9218,cli/install: fix kubernetes error checking,0.67976975,cli: fix git dirty check that was broken for some versions of the git cli [GH-3432],,0
9219,Add more doc comments for app poll handler,0.5026217,GitOps: Poll for changes and automatically run waypoint up. Waypoint,,0
9220,Merge pull request #2790 from hashicorp/dependabot/npm_and_yarn/ui/lib/grpc-web/hosted-git-info-2.8.9,0.5082751,core/api: include commit message in datasource/git response [GH-3457],"This may be useful to people early in the project who wish to keep up with new releases, as well as some basic but (intentionally) vague pointers to how you could use external properties to watch for new versions of Waypoint.",0
9221,Merge pull request #3285 from hashicorp/catsby-patch-1,0.48263848,existing server image is hashicorp/waypoint:latest [GH-3820],  Bump website downloads to 0.1.2   Adds a no-cache header ,0
9222,Merge pull request #3055 from hashicorp/cli/add-way-to-set-platform-on-context-create,0.5623365,cli: Add a way for waypoint context create to set the Waypoint server platform [GH-3055],,0
9223,Bump vterm to pickup crash bug,0.49799284,server: Fix a bug that sometimes sends duplicate cancellation messages [GH-1538],,0
9224,internal/cli: runner takes cookie flag,0.65267414,cli: Prevent use of operation flags on runner agent command [GH-1708],,0
9225,ui: Fixing more typescript errors,0.47448146,core: Easier to understand error messages when using incompatible plugins [GH-2143],,0
9226,Merge pull request #3857 from hashicorp/dependabot/npm_and_yarn/ui/ember-toggle-9.0.3,0.50774705,ui: Fix crash when encountering resources without IDs [GH-3929],,0
9227,ui: extract image-ref utils from container-image-tag,0.5699241,plugin/docker: Resolve image identifiers properly [GH-2067],internal/cli: validate config on init properly,0
9228,Casing,0.42710567,,,0
9229,Merge pull request #4546 from hashicorp/maint-main-nix-update,0.5074959,existing server image is hashicorp/waypoint:latest [GH-3820],"Follow-up on #535, recommending including some details about the browser and version of browser, as well as extensions.",0
9230,last try with CI,0.5201616,will be added to be used within CI. [GH-2840],"We want any URL service users to be able to find the status page, so I put it in the footer and on the URL service page. Longer term, it'd be great if we could render this dynamically in the header or similar if that statuspage.io component has issues.",0
9231,More clarifying comments,0.5441741,DEPRECATIONS:,Fixes #548,0
9232,add defer close in test; docs; remove unused config,0.45016572,cli: Added check for empty deployUrl in output for release switch case [GH-2755],,0
9233,finish removing invalid required flag on HCL items,0.6326889,cli: Remove unused flag runner-profile in waypoint project apply [GH-3318],internal/ceb: do not block child process startup on URL service conn,0
9234,Remove PR template,0.54192424,"template Functions: templatefile, templatedir, and templatestring functions",Fix broken links in docs/lifecycle/deploy,0
9235,Fix linter,0.62437415,BUG FIXES:,,0
9236,Merge pull request #901 from hashicorp/yarn-cache-bust,0.48028105,existing server image is hashicorp/waypoint:latest [GH-3820],internal/cli: show https:// on ui address on install,0
9237,"Allowing successful ""releases"" when deployments don't use an alb.",0.5667969,plugin/aws-ecs: Fix bringing your own alb to ecs deployments. [GH-4457],,0
9238,builtin/aws: fix docs,0.66148114,builtin/aws/ecs: Add awslog driver configuration [GH-1089],builtin/docker-pull: support registry auth from docker config files,0
9239,Fix OIDC page,0.5259176,ui: Fix crash when encountering resources without IDs [GH-3929],,0
9240,"internal/server/state: new workspace layout, store on disk",0.6185898,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",Fixes #501,0
9241,Merge pull request #3614 from hashicorp/ui/icon-tile,0.49980405,ui: Fix crash when encountering resources without IDs [GH-3929],,0
9242,3 pipeline runs test with seq number,0.59920156,pipelines: Properly mark a pipeline run as complete [GH-4053],this will make the website’s build logs public to outside contributors to view and troubleshoot potential build errors on their PRs,0
9243,builtin/docker: use TermOutput,0.59376824,"builtin/docker: Introduce resources map for configuring cpu, memory on deploy [GH-1116]",Add make format command and run it on the codebase,0
9244,link latest version,0.5790255,ui: fix missing link on release detail page [GH-3142],,0
9245,Splitting the serverconfig package.,0.6296825,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,,0
9246,internal/server: dont' send context errors as job updates,0.5701871,plugin/aws-ecs: Error messages contain additional context [GH-2098],builtin/docker/builder: Add dockerfile variable to BuilderConfig,0
9247,add app name variable,0.7426481,config: Add ${app.name} variable [GH-1709],,1
9248,add label in proto,0.5544648,or label sets. This can be used to alter configurations between environments,Fix index out of range error in autocomplete,0
9249,ui/mirage: add deployment resources,0.69644845,ui: Deployment resources [GH-2317],Fixes #536,0
9250,Merge pull request #656 from hashicorp/f-nomad-auth-block,0.56652606,plugin/nomad: destroy works [GH-571],,0
9251,builtin/docker: add back what I removed,0.5317993,plugin/docker: img-based Dockerless builds are no longer supported.,"Fixes minor formatting inconsistencies, mainly import order",0
9252,Fix service test reference from label to tag,0.5122399,label selectors [GH-2065],"As described in CONTRIBUTING.md, everyone should run make format before committing and submitting their code. This patch adds that functionality.",0
9253,pushing print statements as debugger is bugging out,0.48240227,cli: Print operation sequence ids and pushed artifact id [GH-3081],,0
9254,Fixing destroying k8x resources,0.66123796,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
9255,Merge pull request #3874 from hashicorp/docs-runner-config,0.5144112,core: improve runner job stream error logging [GH-3872],Handle case where there is only one ECS cluster with a given name,0
9256,internal/datasource: ToSlash the change path,0.4747696,variables in your Waypoint file to specify paths as relative to the project (waypoint.hcl,,0
9257,Move application header into separate component,0.5137802,"Since the initial version of Waypoint, the product has supported the ability to configure multiple apps within a single waypoint.hcl file. This functionality is deprecated and will be removed in the next release. The vast majority of users are not using this functionality and it served mostly as a source of confusion for users. For users who are using a monorepo pattern, we plan to add better workflows for you.",,0
9258,Merge pull request #3160 from hashicorp/b/cli/source-get-better-error-help,0.5777782,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],update waypoint-plugin-sdk for <= Windows 10 1809 compat,0
9259,Merge pull request #1389 from hashicorp/update-gcp-signjwt,0.5657842,plugin/vault: Use Service Account Credentials API for GCP SignJWT endpoint [GH-1389],We try to use the ConPTY set of APIs which were introduced in 1809. The Waypoint SDK was updated to fallback to pipes for earlier versions of Windows: https://github.com/hashicorp/waypoint-plugin-sdk/commit/59421183d54fd19cbeaa37b72bcd48ab7252699e,0
9260,internal/builder/pack and wire it up,0.56841034,"builtin/docker: Add Binds, Labels and Networks config options for deploy [GH-1065]",,0
9261,Add changelog for v0.11.0,0.58823836,entrypoint: default log level changed to DEBUG [GH-1330],Add back docs blue theme,0
9262,internal/server: snapshot/restore unit test,0.69496214,snapshots. Restoring snapshot data requires a server restart but the restore operation ,,0
9263,Using declared resources in the k8s releaser,0.72077143,plugin/k8s: Update K8s Releaser to use SDK Resource Manager [GH-1938],,1
9264,website: document dynamic variable values,0.51083905,ui: Add dynamic page titles [GH-1916],internal/cli: config commands should reuse main -app flag,0
9265,internal/server: check for auth token only if endpoint requires auth,0.5617393,core: Add ability to have cli and runners use OAuth2 to get an auth token [GH-3298],Add details for go-bindata as a build pre-req,0
9266,Merge pull request #2023 from aemengo/bump-pack-v0.20.0,0.50113714,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],Fixes #473,0
9267,Merge pull request #1387 from swisscom/feature/deployment-url,0.45964903,ui: Show deployment URL if available [GH-1739],,0
9268,internal/core: more robust tests,0.4908396,plugin/aws/ecs: Validate memory and cpu values [GH-1872],,0
9269,Merge pull request #734 from hashicorp/rar-use-dockerhub-mirror,0.49964446,existing server image is hashicorp/waypoint:latest [GH-3820],,0
9270,internal/runner: recheck auth,0.65095425,list and waypoint runner inspect [GH-3746],,0
9271,Updating the terraform configsourcer to emit json values,0.6144335,and converting them to JSON. [GH-1360],,0
9272,code comment on why we check for a given error message,0.5456744,cli: Ignore error on Unimplemented for health checks [GH-1596],,0
9273,website-mdx,0.38442552,available to your Waypoint configuration. ,"Always good to upgrade to new versions, even if its fake terminal output lol",0
9274,Style auth page,0.4832108,ui: Add dynamic page titles [GH-1916],This workflow can also populate a cachix cache,0
9275,test addition and better docs,0.46512926,IMPROVEMENTS:,  Add dotnet svg logo to website   Optimized with svgomg ,0
9276,internal/cli: -repeat flag on release,0.672528,cli/main: Add -version flag for CLI version [GH-1049],Also adds a github action that automatically opens a PR (or updates an existing PR) every time nixpkgs is updated.,0
9277,allow hyphens in workspace names,0.54807043,workspaces. [GH-2385],builtin/azure/aci: fix dropped error,0
9278,Merge pull request #2687 from hashicorp/docs/labels,0.45721248,cli: Support and render new documentation subfields [GH-1213],,0
9279,docs/index describes learning resources,0.4473291,"such as Google, GitLab, etc. [GH-1831]", adds gitlab!,0
9280,Merge pull request #1274 from hashicorp/ui-git-private-key,0.5215623,core/api: include commit message in datasource/git response [GH-3457],  Docs: Add GitLab CI/CD exec integration   Update website/content/docs/automating-execution/gitlab-cicd.mdx   Co-authored-by: Jack Pearkes jackpearkes@gmail.com  Update WAYPOINT_VERSION variable example for GitLab CI/CD integration  Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9281,Style token vs invite flow,0.44556376,ui: onboarding flow after redeeming an invite token is enabled and uses public release URLs [GH-635],Fixes a small typo in the install cmd + docs.,0
9282,Fix panic if pipeline-id flag is used but no argument supplied to cli,0.74308425,cli: Fix panic in waypoint pipeline list and waypoint pipeline inspect where,,1
9283,website: links to extending waypoint,0.6091204,available to your Waypoint configuration. ," While the Paketo buildpacks project is in the CFF, their OSS name is   just Paketo Buildpacks.",0
9284,Merge pull request #194 from hashicorp/pull-server-image,0.59262574,existing server image is hashicorp/waypoint:latest [GH-3820],Bumps rack from 2.2.2 to 2.2.3. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
9285,k8s install: Return error creating service/statefulset.,0.67819524,serverinstall/k8s: Allow using k8s context [GH-1028], website: move HASHI_ENV into .env.production this will allow us to skip the deployment approval of forked PRs,0
9286,Comment fix,0.5386048,BUG FIXES:,Fix plugin example link,0
9287,Merge branch 'master' into f-multi-status,0.3479948,"cli: Deprecate -remote flag for operations, replace with -local flag [GH-2771]","Fix ""edit this page"" documentation link",0
9288,Add :disabled input and button states,0.4972483,ui: Toggle checkboxes are nicely styled in dark mode [GH-2410],Fixes #482,0
9289,Change go-bindata package,0.54243124,* Update Go build version to 1.16.12 per Go security release,Update paas.mdx,0
9290,"Revert ""Revert ""Copy tweaks per copy doc""""",0.49981976,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],The link to the plugin examples was broken.,0
9291,internal/server/singleprocess: Add API endpoint to assist in exec method finding,0.5097677,cli: Implement waypoint job get-stream to allow users to attach to running job,Added OpenShift and Cloud Foundry for other PaaS examples.,0
9292,sdk/release_manager: support authenticator,0.5640645,plugin/docker: fix issue with authenticating with registries when using,,0
9293,internal/ceb: get rid of Windows-specific files,0.5957578,cli/runnerinstall: Delete EFS file system during ECS runner uninstall. [GH-3944],,0
9294,build(deps): bump github.com/opencontainers/image-spec,0.6013498,plugin/docker: Enables image build for specified platform [GH-1949],"  ui: fix a11y audit with shared svg patterns file   ui: fix deployment mocks   ui: first-class kubernetes svg to fix a11y   ui: ensure svg-patterns are hidden   ui: do not poll in testing mode, fix builds url   ui: add test login helper   ui: very basic tests for builds/deploys/releases   commenting out some of but not all of the a11y audit to not have that breaking everything at the moment",0
9295,Adding line breaks for readability,0.4718154,ui: Fix header spacing on build/release detail pages [GH-3614],B add docs links,0
9296,Mention docker pull hashicorp/waypoint,0.62858117,docker-pull [GH-4121],,0
9297,internal/serverinstall: runner support in nomad,0.81764615,plugin/nomad: Introduce Nomad On-Demand Runner support for Waypoint server. Launch,website: mark the action-waypoint action as experimental,1
9298,builtin/aws-ecs: fix crash if subnets are specified,0.8716091,plugin/aws-ecs: fix crash if subnets are specified [GH-636],,1
9299,Fix typo in doc string,0.38544852,cli: Return help on malformed command [GH-2444],Mention docker pull hashicorp/waypoint,0
9300,Update website URLs to waypointproject.io,0.5840366,core: Update -from-project in waypoint init to handle local projects [GH-722],This step may be needed to install the server to Docker.,0
9301,Merge pull request #1066 from hashicorp/b/up-bc,0.48267806,existing server image is hashicorp/waypoint:latest [GH-3820],,0
9302,Disable waypoint server functionality if env vars missing,0.54016155,entrypoint: Can disable waypoint exec only by setting the,,0
9303,Merge pull request #3922 from hashicorp/i-runner-install-default-profile,0.57827747,"runner-install/k8s: Use the service account created by helm in the runner profile, rather than using the default service account. [GH-3894]",,0
9304,internal/server: DataSource.Ref proto,0.5868703,server: Add pagination protobuffs and stubs for pagination in ListProjects [GH-4203],,0
9305,Merge pull request #4553 from hashicorp/refresh-healh-check-fix,0.5492779,"plugin/tfc: Fix HCL field, refresh_interval [GH-3524]",,0
9306,builtin/docker: make StopTask more robust,0.52912486,plugin/docker: Add support for multi-stage Dockerfile builds [GH-1992],,0
9307,"Revert ""internal/server/state: sequence numbers are by app""",0.47870857,server: Introduce basic server-side metric collections around operations [GH-3440],Fix Nomad link in readme,0
9308,"builtin/docker: register mapper, although this isn't working currently",0.5712443,builtin/docker: Fix host port mapping defined by service_port [GH-918],,0
9309,Added a basic test for DeclaredResources,0.5482539,checks for deployed resources. See Improvements for more.,,0
9310,website/pages/.../docker: Cleanup and add missing sections,0.5308045,ui: Overview section added + Docker container information displayed [GH-2352],,0
9311,Add a comment about why we don't set Replicas if count is 0,0.43617535,if none exists [GH-3922],"Do not include state DB for buildpacks on Windows,",0
9312,up version of backport-assistant to handle forked PRs,0.5316899,Use server upgrade to upgrade the Waypoint server for the,Work round problem with Create Symlink for context on Windows,0
9313,website: version 0.2.0 upgrade guide,0.6824275,"0.2.0 (December 10, 2020)","The URL was previously plural but the code is singular. This commit renames the file so the URL is singular. use ""azure-container-instance""",0
9314,internal/server: GetVersionInfo requires no auth,0.6102555,plugin/nomad: Allow for auth soft fail on serverinstall for server image [GH-1106],,0
9315,internal/runner: release does only a single target,0.51449937,one job since they are purpose launched for single job execution. [GH-3300],Added quick start links to readme.,0
9316,internal/core: CanDestroyDeploy,0.5138731,core: Auto run a status report after a deployment or release operation rather,,0
9317,ui: fix types for router service,0.6324372,plugin/aws-ecs: Allow configuration of ALB subnets independently of service subnets [GH-2205],,0
9318,auto-updated internal/server/gen/bindata_ui.go from commit aa30b27d,0.59564775,plugin/aws/alb: Update ALB Releaser to use new SDK Resource Manager [GH-1648],,0
9319,update/change service validation,0.6050825,plugin/k8s: Updates release status report to check k8s service status [GH-2024],,0
9320,Add extra note about setting up a metrics-server,0.6447915,server: Introduce basic server-side metric collections around operations [GH-3440],,0
9321,Ensure application refs are properly set,0.48127973,ui: Ensure logs update correctly when switching between deployments [GH-2901],,0
9322,"Honor the ALB config's port, but use the correct autocalculated port value",0.5459831,plugin/ecs: ability to specify service_port rather than port 3000 [GH-661],,0
9323,Tweak config vars mirage handlers some more,0.4806159,ui: Allow config variables to be managed in the browser UI [GH-1915],Windows Support,0
9324,internal/runner: test the server going down during adoption,0.66308403,core: runners can tolerate a server outage during job execution and will,,0
9325,sdk/mapper: ConvertType when you haven't allocated the result,0.40760103,entrypoint: dump a memory profile to /tmp on SIGUSR1 [GH-1194],,0
9326,Merge remote-tracking branch 'origin/b-upgrade-cleanup-profile' into b-upgrade-cleanup-profile,0.43520427,Status Reports: Waypoint now has multiple improvements to support status,,0
9327,Renaming,0.7304142,DEPRECATIONS:,,1
9328,remove superfluous StepGroup message outputs,0.48773327,config: Remove the multi-app deprecation warning.,,0
9329,move variables into separate package,0.5177568,or label sets. This can be used to alter configurations between environments,,0
9330,auto-updated internal/server/gen/bindata_ui.go from commit 05e8aca9,0.60301757,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
9331,Upgrade ember-truth-helpers to 3.0 (#2407),0.5357016,"0.3.0 (April 08, 2021)",readers/fileinfo,0
9332,internal/server: also verify no groupings of separators,0.46636355,serverinstall/ecs: Add permissions to the ECS runner IAM policy to allow the removal of security groups and de-registration of task [GH-2684],,0
9333,website: homepage copy pass,0.41417813,the deployment URLs based on the original hostname lookup. [GH-2950],As requested by Swarna. Also fixes path to GitHub actions docs Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9334,auto-updated internal/server/gen/bindata_ui.go from commit b68e3961,0.5858978,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or, logs exec output details screenshot of web UI,0
9335,Merge pull request #4302 from hashicorp/docs/website/registry-creds-with-vault,0.50016356,did not properly implement a Registry component with AccessInfoFunc() [GH-2532],,0
9336,internal/runner: QueueProjectOp,0.6216111,"runner: Adds ondemand runners, single job runner processes launched via the task API [GH-2056]",,0
9337,Build out app status report func,0.61008173,Status reports: server: Continuously generate a status report for an application after the initial,website: homepage copy pass,0
9338,fix docs and rename navigation,0.49662614,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9339,internal/cli: server bootstrap can set a context for you,0.6130747,cli: Add a way for waypoint context create to set the Waypoint server platform [GH-3055],Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9340,Using resource manager for status,0.5772325,Status reports: server: Continuously generate a status report for an application after the initial,Jack asked me to go through this and I found a bunch of tweaks both in the copy and in the terminal output. I ran through this locally and it looked good.,0
9341,internal/server: send entrypoint URL config only when we get a token,0.60847825,ui: onboarding flow after redeeming an invite token is enabled and uses public release URLs [GH-635], Adds a few additional links for some of the features Switches some urls from absolute to relative,0
9342,Merge pull request #450 from hashicorp/homepage-copy,0.49425218,existing server image is hashicorp/waypoint:latest [GH-3820],Docs Content Polish,0
9343,Merge pull request #4230 from hashicorp/feat/alb-ext-sg,0.5305514,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
9344,ui: logs for the other operations,0.64707565,ui: The rendering of the Application and Operation Logs has been greatly improved [GH-2356],,0
